I tê	You're small
Aw ka Pathian, he mi thuah hian min hre reng la, ka Pathian in leh a rawngbawlna atâna ka thiltih thatte chu thai bo lul suh ang che.	Keep me in mind, O my God, in connection with this, and do not let the good which I have done for the house of my God and its worship go from your memory completely.
Mi tin an chunga roreltute thu thuin awm rawh se. Pathian thu lovin tumah roreltu an awm si lo; roreltua awmte hi Pathian ruat an ni.	Let everyone put himself under the authority of the higher powers, because there is no power which is not of God, and all powers are ordered by God.
Tuman mahni intihder suh se. In zingah tupawh he khawvelah hian finga a inngaih chuan a lo fin theihna turin mi aah lo chang rawh se.	Let no man have a false idea. If any man seems to himself to be wise among you, let him become foolish, so that he may be wise.
Tin, an nung ang a: Sheba ram rangkachak chu amah pêk ani ang a; Miten ani chu an tawngtaisak fo vang a; Nilengin mal an sawmsak ang.	May he have long life, and may gold from Sheba be given to him: may prayers be made for him at all times; may blessings be on him every day.
I lungnih lohna avnaign ka tisaah hian dam lai reng a awm lo va; Ka sualna avângin ka ruhahte hian hrisel lai rêng rêng a awm hek lo.	My flesh is wasted because of your wrath; and there is no peace in my bones because of my sin.
Ruahtui angin ka thu chu a sur ang, Dai angin ka thusawi chu a far ang; Hlobet no dep chunga ruah ang leh Hnim hnah chunga ruah angin	My teaching is dropping like rain, coming down like dew on the fields; like rain on the young grass and showers on the garden plants:
Tin, chung chu entirna turin an chungah a lo thleng a nih kha; keini, hun tawp lo thlennate hi, min zilhna turin an ziak a ni bawk a.	Now these things were done as an example; and were put down in writing for our teaching, on whom the last days have come.
Tin, a ni hnih niin bawngpa tir sâwm leh pahnih, berampa pahnih, beram no a pa kum khat mi sawisel bo sâwm leh pali in hlan tur a ni;	On the second day of the feast give an offering of twelve oxen, two male sheep, fourteen he-lambs of the first year, without any mark on them;
A nih leh, nawhchizuar zawm chu amah nen pumkhat an ni tih in hre lo em ni le? An pahnihin tisa pumkhat an lo ni tawh ang, a ti si a.	Or do you not see that he who is joined to a loose woman is one body with her? for God has said, The two of them will become one flesh.
Chhiahhlawhte u, ti dek hlirin in hotute thu thuin awm rawh u; mi tha leh mi nunnemte lakah chauh ni lovin, mi nunrawngte lakah pawh.	Servants, take orders from your masters with all respect; not only if they are good and gentle, but even if they are bad-humoured.
chuvangin kei pawhin LALPA hnênah ka hlan a ni: a dam chhûng zawng LALPA tana hlan a ni, a ti a. Tin, chutah chuan LALPA chu a bia a.	So I have given him to the Lord; for all his life he is the Lord's. Then he gave the Lord worship there.
Tichuan thingri thingin bawm ka siam a, hmana mi ang lungphêk pahnih ka chher a, lungphêk pahnih chu kengin tlângah chuan ka chho va.	So I made an ark of hard wood, and had two stones cut like the others, and went up the mountain with the stones in my hands.
Chutichuan, unaute u, ding nghet ula, thurochhiahte chu thusawiin emaw kan lehkha thawnin emaw kan zirtir che u kha pawm tlat rawh u.	So then, brothers, be strong in purpose, and keep the teaching which has been given to you by word or by letter from us.
Khawvel tawp hunah chuan chutiang bawkin a awm ang; vantirhkohte chu an lo chhuak ang a, mi fel zing ata mi sualte chu an hlir ang a,	So will it be in the end of the world: the angels will come and take out the bad from the good,
Rethei leh pachhiate tithlu tûr leh Awm dan dikte tihlum tûrin. Mi suaksualte chuan khandaih an phawi a, an thal ngul an kuai bawk a.	The evil-doers have taken out their swords, their bows are bent; for crushing the poor, and to put to death those who are upright in their ways.
Rinna i neih chu Pathian hmaah nangmah chauhva hriatin nei mai rawh. Mahni tha tih kawnga thiam loh inchantir lo chu a eng a thawl e.	The faith which you have, have it to yourself before God. Happy is the man who is not judged by that to which he gives approval.
Tin, lal thil phût hi thil khirh tak a ni a, tîsaa khawsa lo pathiante tih chauh lo chu entîr thei tûr tumah an awm lo ve,’’ an ti a.	The king's request is a very hard one, and there is no other who is able to make it clear to the king, but the gods, whose living-place is not with flesh.
An hmangaihna te, an huatna te, an itsikna te a boral daih tawh a ni, ni hnuaia thiltihahte hian chanvo reng an nei tawh ngei hek lo.	Their love and their hate and their envy are now ended; and they have no longer a part for ever in anything which is done under the sun.
Tin, Israel mite chuan LALPA hnenah thu an tiam a, Heng mite hi kan kuta min pêk chuan an khuate hi kan tiboral hlauh ang e, an ti a.	Then Israel made an oath to the Lord, and said, If you will give up this people into my hands, then I will send complete destruction on all their towns.
Tin, rangkachak khâng pahnih i siam tur a ni a, chûng chu âwmbel kil pahnih, puithiam kawrdep chhûng lampangah chuan i vuah tur a ni.	Then make two gold rings and put them on the lower ends of the bag, at the edge of it on the inner side nearest to the ephod.
Chutichuan puithiam lalte leh Pharisaite chuan roreltuho an ko khawm a, Engtin nge kan tih ang? He mi hian thilmak tam tak a ti si a.	Then the high priests and the Pharisees had a meeting and said, What are we doing? This man is doing a number of signs.
Adar thla ni samw leh ni thu niin chu chu an ti a, tin, ni samw leh ni lo ni chuan an chawl a, ruaitheh ni leh hlimna niah an siam a.	This they did on the thirteenth day of the month Adar; and on the fourteenth day of the same month they took their rest, and made it a day of feasting and joy.
thingrem siamtu te, in satu te, in chhe siamtute huan in he lai siamna thing leh lungchher an lei theih nân, tiin LALPA inah a tir a.	To the woodworkers and the builders and the stone-cutters; and for getting wood and cut stones for the building up of the house.
Tirhkoh nih chhinchhiahnate chu chhelna tinreng neiin, chhinchhiahnate, thilmakte, thiltihtheihnatein in zinga tih a nih tak tak kha.	Truly the signs of an Apostle were done among you in quiet strength, with wonders and acts of power.
Rante chu an va rûm nasa êm! Bawng rualte chu an mangang a, hlobet hring hmun an neih loh avângin; a ni, berâm rualte chu an țiau va.	What sounds of pain come from the beasts! the herds of cattle are at a loss because there is no grass for them; even the flocks of sheep are no longer to be seen.
an fa tir zawng zawng LALPAN a tihhlumsak an phum laiin Israela thlahte chu muk takin an chhuak a: LALPAN an pathiante pawh a hrem a.	While the Egyptians were placing in the earth the bodies of their sons on whom the Lord had sent destruction: and their gods had been judged by him.
Nang hchu ka chakna Pathian i ni si a; engah nge mi thlauhthlak le? Engah nge dotu hnehchhiahna avânga lungngaia ka van ruai thin le?	You are the God of my strength; why have you put me from you? why do I go in sorrow because of the attacks of my haters?
Nangin ka vahvaihnate hi i chhinchhiah thin a: Ka mittuite hi i savun pengah chuan thun ang che; I lehkhabuah a chuang hlawm lawm ni?	You have seen my wanderings; put the drops from my eyes into your bottle; are they not in your record?
Ka chunga in thute chu a paukhauh hle, LALPA chuan a ti. Nangni erawh chuan, engah khân nge i chungah chutiang thu kan sawi? In ti a.	Your words have been strong against me, says the Lord. And still you say, What have we said against you?
kum sawmthum achin chung lam, kum sawmnga thlengin rawngbawlna hna, inbiakna puan ina thawk tur zawng zawng zat chu chhiar vek rawh u.	All those from thirty to fifty years old who are able to do the work of the Tent of meeting.
Zalen ka ni lo vem ni? Tirhkoh ka ni lo vem ni? Kan Lalpa Isua ka hmu tawh lo vem ni? Nangniho chu Lalpaa ka hnathawh in ni lo vem ni?	Am I not free? am I not an Apostle? have I not seen Jesus our Lord? are you not my work in the Lord?
tin, LALPAN Mosia hnêna a sawi zawng zawngte kha Arona chuan a sawi chhâwng leh vek a, tin, mipuite hmuhah chuan thilmakte chu a ti a.	And Aaron said to them all the words the Lord had said to Moses, and did the signs before all the people.
Tin, A Fa tira chu khawvela a tirh dawn lai khan heti hian a ti bawk; Pathian vantirhkohte zawng zawng pawhin Amah chibai buk rawh se,	And again, when he is sending his only Son into the world, he says, Let all the angels of God give him worship.
tin, pawl khat chu Beth-horon lam pan kawn an zawh a; tin, pâwl khat chuan thlaler dep Zeboim ruam lam hawi ramri kawng chu an zawh a.	And another went in the direction of Beth-horon: and another went by the hill looking down on the valley of Zeboiim, in the direction of the waste land.
Pathianin a thinlunga finna thu a dahsak chu ngaithla tûrin khawvela mi zawng zawngte chuan Solomona chu an rawn pan huai huai thin a.	And from all over the earth they came to see Solomon and to give ear to his wisdom, which God had put in his heart.
tin, a hnêna thuthlung siam hnuah chuan hlemhle takin a che ang: a lo ding chhuak ang a, mipui tlêm tête nên pawh a lo chak dâwn a ni.	And from the time when they make an agreement with him, he will be working falsely: for he will take up arms suddenly with a small force,
Tin, Isuan sawm leh pahnihte chu a ko khawm a, ramhuai zawng zawng chunga thiltihtheihna leh thuneihna leh nate tihdam theihna a pe a.	And getting the twelve together, he gave them power and authority over all evil spirits and over diseases, to make them well.
khaw pakhat Nazaret an tihah chuan a va awm ta a: Ani chu ‘Nazaret mi’ an ti ang, tia, zawlneite kaa an sawi kha a lo thlen theih nan.	And he came and was living in a town named Nazareth: so that the word of the prophets might come true, He will be named a Nazarene.
Tin, thawhlawm bawm zawnah chuan a thu a, thawhlawm bawma mipuiho tangka thlakzia chu a en a; mi hausa tam takin hnem tak ang thlak a.	And he took a seat by the place where the money was kept, and saw how the people put money into the boxes: and a number who had wealth put in much.
Isaia pawhin Israel mite thu aupuiin, Israel mite chu tuifinriata tiau zatin tam mah sela, a hrem bak chauh chu chhandamin an awm ang.	And he who is the searcher of hearts has knowledge of the mind of the Spirit, because he is making prayers for the saints in agreement with the mind of God.
Mahse ka kut ka sûm a, ka hruai chhuah lai hretute hnam ngei mithmuha tihchhiata a awm loh nân ka hming humhalhin ka bei ta zawk a ni.	And I was acting for the honour of my name, so that it might not be made unclean in the eyes of the nations, before whose eyes I had taken them out.
Tin, nangmah bei tumin i vêlah ka ep ang chia, kulh siamin ka hual vêl bawk ang chia, bei tûr chein hual velna kulhbingte ka siam ang.	And I will make war on you like David, and you will be shut in by earthworks, and I will make towers round you.
Tin, thil puta chuan mi bawlhhlawh lo chil a chhak chuan a puante a su ang a, a inbual tur a ni a, tlai lam thlengin a bawlhhlawh ang.	And if liquid from the mouth of the unclean man comes on to him who is clean, then he is to have his clothing washed and his body bathed in water and be unclean till evening.
Tin, Seba lalnuin thil a pêk tiam lovin lal Solomona chuan a duh apiang a pe bawk a. Chutichuan a ram lama a hote nen an haw leh ta a.	And King Solomon gave the queen of Sheba all her desire, whatever she made request for, in addition to what she had taken to the king. So she went back to her country with her servants.
Tin, Mordekaia chu lal kawt hung kawngkaah chuan a lo kal leh a. Hamana erawh chu ngui takin inlukhuhin a in lamah a haw ta var mai a.	And Mordecai came back to the king's doorway. But Haman went quickly back to his house, sad and with his head covered.
Tin, Mosia chuan Paran thlaler ațang chuan LALPA thupêk angin a kaltir ta hlawm a: an za chuan Israel thlahte zinga puipa țhiau an ni.	And Moses sent them from the waste land of Paran as the Lord gave orders, all of them men who were heads of the children of Israel.
Tin, bawi thahnem lo kha pawn lamah thimah chuan paih chhuak rawh u; chutah chuan tah leh ha thial chu a awm ang,’ a ti a, a chhang a.	And put out the servant who is of no profit into the outer dark: there will be weeping and cries of sorrow.
Tin, Saula pawh chu Gibea khuaah a in lama a haw ve ta a: tin, mi huaisenho an thinlung Pathianin a khawihte chu a hnênah an kal ve a.	And Saul went to Gibeah, to his house; and with him went the men of war whose hearts had been touched by God.
An indona chuan chu mi lai ram zawng zawng chu a huam vek mai si a; chu mi ni chuan khandaih ai mahin ram ngawin a lem hnem zawk a ni.	And the fighting went on over all the face of the country: and the woods were responsible for more deaths than the sword.
Kawngkhâr chuan phel hnih a nei ve ve a, a phel khat chu thlep thei țheuh a ni; kawngkhâr pakhatah phel hnih, a dangah phel hnih bawk.	And the holy place had two doors, and the doors had two turning leaves, two for one and two for the other.
Tin, Eliezera fatea upa ber chu Rehabia a ni. Tin, Eliezera chua nfapa dang rêng rêng anei lo ; Rehabia erawh chuan fapa tam tak anei.	And the sons of Eliezer: Rehabiah the first; and Eliezer had no other sons, but Rehabiah had a great number.
TinAbnera chu Hebron-ah chuan an phûm a: lal chuan a awm a chhuah a, Abnera thlanah chuan a tap ta a; mipui zawng zawng pawh an tap a.	And they put Abner's body to rest in Hebron; and the king and all the people were weeping loudly by the resting-place of Abner's body.
Chutichuan, ni sarih leh zan sarih leiah an thutpui a, tumahin a hennah thu kam khat mah an sawi lo; a natna chu na emin an hria a ni.	And they took their seats on the earth by his side for seven days and seven nights: but no one said a word to him, for they saw that his pain was very great.
Saiip puan an fêng ang a, râpnain an mahni a tuam ang a, hmêl zawng zawngah zahna a lang ang a, an lu zawng zawng a kawng fai vek ang.	And they will put haircloth round them, and deep fear will be covering them; and shame will be on all faces, and the hair gone from all their heads.
Hei pawh hi thil tha lo tak mai a ni, a lo kal lam ang chiah bawka a kal leh tûr hi: boruak atân maia a thawhrim hi eng nge a hlawkna?	And this again is a great evil, that in all points as he came so will he go; and what profit has he in working for the wind?
Tin, tumahin an fapa emaw, an fanu emaw Moleka puala meia an luhtir tawh lohna tûrin, Hinoma thlahte ruama Topeth chu a tibawrhbang a.	And Topheth, in the valley of the sons of Hinnom, he made unclean, so that no man might make his son or his daughter go through the fire to Molech.
Tin, ani chuan mi dang hnên lam a hawisan a, a sawi ngai bawk a sawi a: tin, mipuite chuan a hmaa an chhan ang bawkin an chhang leh a.	And turning away from him to one of the other men, he said the same words: and the people gave him the same answer.
Tin, unaute u, kei zawng Pathian thuruk hrilh che uin in hnena ka lo kal lai khan, thusawi ropui leh finna ropui nena lo kal ka ni lo.	And when I came to you, my brothers, I did not come with wise words of knowledge, putting before you the secret of God.
Tin, silhfen thu engahnge in lungkham ni? Ram tuktinpar thanzia hi tha takin ngaihtuah rawh u; hna an thawk lo, la pawh an kai hek lo;	And why are you troubled about clothing? See the flowers of the field, how they come up; they do no work, they make no thread:
Keima hming avngin mi zawng zawng huat in ni ang; nimahsela a tawp thlenga tuar peih apiang chu, chu mi ngei chu chhandamin a awm ang.	And you will be hated by all men, because of my name; but he who goes through to the end will have salvation.
tichuan chung ang chuan rulhna tur che an neih loh avangin i eng a thawl ang; mi felte thawhleh hunah rulh leh i ni dawn si a, a ti a.	And you will have a blessing, because they will not be able to give you any payment, and you will get your reward when the upright come back from the dead.
mipa a nih chuan I ruat dan tur chu kum sawmhnih atanga kum sawmrk mi chu hmun thianghlim sekel ang, tangka sekel sawmnga hu a ni ang.	And you will put the value of a male from twenty years to sixty years old at fifty shekels of silver, by the scale of the holy place.
mi sual a kawng bona ata hawi kirtirtu chuan thihna ata a thlarau a chhandam ang a, sual tam tak a khuhsak bawk ang tih inhre rawh se.	Be certain that he through whom a sinner has been turned from the error of his way, keeps a soul from death and is the cause of forgiveness for sins without number.
LALPA chu Pathian ani tih hre rawh u: Min siamtu chu amah chu ani a, ama ta kan ni. A mit leh a ran tlatna hmuna berâmhote chu kan ni.	Be certain that the Lord is God; it is he who has made us, and we are his; we are his people, and the sheep to whom he gives food.
Chutichuan Dan thiltih avangin mi tumah a mithmuhin thiam changing an awm lo vang; Dan avangin sual hriat famkimna a lo awm a ni si a.	Because by the works of the law no man is able to have righteousness in his eyes, for through the law comes the knowledge of sin.
LALPA mithmua thil tha lo tak tia a sualnate avâng leh Jeroboama kawng zawhc hu zawh vea Israel-hote thiltihsualtira a sualna avângin.	Because of his sin in doing evil in the eyes of the Lord, in going in the way of Jeroboam and in his sin which he made Israel do.
Amaherawhchu tuikhur emaw, tuizem, tui tling khawm emaw chu a bawlhhlawh lo vang a, an ruang khawih apiang erawh chu a bawlhhlawh ang.	But at the same time a fountain or a place where water is stored for use will be clean; but anyone touching their dead bodies will be unclean.
Nimahsela ei tur hian Pathian mit min tluntir chuang lo vang; ei mah suh ila kan chhe chuang hek lo, ei mah ila kan tha chuang hek lo.	But God's approval of us is not based on the food we take: if we do not take it we are no worse for it; and if we take it we are no better.
Unaute u, kei hian serh tan thu hril ni ila tihduhdah ka ni cheu dawn em ni? Chuti ni se Kraws thu kan hril hian buaina a siam lo tur.	But I, brothers, if I am still preaching circumcision, why am I still attacked? then has the shame of the cross been taken away.
Nimahsela, tisaa nun hi ka chan ni sela – chu chu ka hnathawh rah ni ang sela, chutichuan a engnge ka thlan zawk dawn zawng ka hre lo.	But if I go on living in the flesh--if this is the fruit of my work--then I do not see what decision to make.
mahse, mi suaksual tan kha chuan a tha lo vang a, a ni tihseite pawh kha hlimthla ang lek a ni si a, Pathian tihna a neih loh avângin.	But it will not be well for the evil-doer; he will not make his days long like a shade, because he has no fear before God.
Nimahsela Jeroboama chuan an hnung lamah a chan ruktir a: tichuan Judate hma lamah an awm a, chang ruttue chua n hnung lamah an awm a.	But Jeroboam had put some of his men to make a surprise attack on them from the back, so some were facing Judah and others were stationed secretly at their back.
Aw PATHIAN, Lalpa, ka mitin i lam a en si thin a: Nangmahah chuan ka rinna ka nghat thin; ka nunna hi saruakin hnutchhiah suh ang che.	But my eyes are turned to you, O Lord God: my hope is in you; let not my soul be given up to death.
Keinin Israelte tlantu tur kha a nih kan beisei tehlul nen. Engpawh ni sela, chung thil thlenna chin chu vawiin nen ni thum a ni tawh.	But we were hoping that he would be the Saviour of Israel. In addition to all this he has now let three days go by from the time when these things took place;
Nimahsela, i khawngaihna chu khawngaih luihtir ang ni lovin, i thu thu ang a nih theih zawkna turin, i thu lovin engmah tih ka duh lo.	But without your approval I would do nothing; so that your good works might not be forced, but done freely from your heart.
Tunah pawh vntirhkoh sangruk hmun sawm leh hmun hnih aia tam zawk mi rawn tirhsak turin ka Pa hnenah ngen thei lovin mi ring em ni le?	Does it not seem possible to you that if I make request to my Father he will even now send me an army of angels?
Mitthi khaw thlengin lai tlang mah sela, chuta ta chu ka kutin ka la chhuak ang a; vânah lâwn mah sela, chuta ta chu ka hnûk thla ang.	Even if they go deep into the underworld, my hand will take them up from there; if they go up to heaven, I will get them down:
Chutiang bawkin in eng chu mi mit hmuhin eng rawh se, chutichuan in thil tih thatte an hmu ang a, in Pa vana mi an chawimawi thei ang.	Even so let your light be shining before men, so that they may see your good works and give glory to your Father in heaven.
Chutiang bawkin lei pawh hi taksa peng te tak te a ni a,nasa takin a uang thin. Ngai teh u, mei te tak tein thing a va tikang nasa em!	Even so the tongue is a small part of the body, but it takes credit for great things. How much wood may be lighted by a very little fire!
Ani chuan hreawm tuartu hreawmzia chu ahmusit si lo va, a ten hek lo; A hmai chu alakah a thup hek lo; Amah a auhin a NGAITHLA ZAWK A.	For he has not been unmoved by the pain of him who is troubled; or kept his face covered from him; but he has given an answer to his cry.
Israel leh Juda chu an Pathian Sipaihote LALPA chuan A hnuchhawn si lo va, An ram chu Israel Mi Thianghlim chungah Sualin a khat na a.	For Israel has not been given up, or Judah, by his God, by the Lord of armies; for their land is full of sin against the Holy One of Israel.
A hming ropui tak avâng hian LALPA chuan a mite chu a hawisan dawn si lo va: a mite atâna siam che u chu LALPA lawmzawng tak ani si a.	For the Lord will not give his people up, because of the honour of his name; for it was the Lord's pleasure to make of you a people for himself.
He khawvel finna hi Pathian ngaih chuan atna a ni si a. Ani chuan mi fingte chu anmahni fin verveknain a awk thin, tih ziak a ni si a;	For the wisdom of this world is foolish before God. As it is said in the holy Writings, He who takes the wise in their secret designs:
Pathian an fak a, mi zawng zawng lawmzawngin an awm thin. Tin, a chhandam mek apiangte chu Lalpain ni tin an hnenah a teltir zel thin.	Giving praise to God, and having the approval of all the people; and every day the number of those who had salvation was increased by the Lord.
Pathianin a thianghlimnaah chuan heti hian a sawi a, Ka hlim ang a: Sekem khua chu ka sem ang a, Sukoth ruam chu ka sem darh bawk angê	God has said in his holy place, I will be glad: I will make a division of Shechem, and the valley of Succoth will be measured out.
Gomer leh a sipai rual zawng zawngte; Togarma chhûngte, hmâr tawpa mi leh a sipai rual zawng zawngte; i hnên a mi tam tak te nên pawh.	Gomer and all her forces; the people of Togarmah in the inmost parts of the north, with all his forces: a great number of peoples with you.
Chu chu Josef-ho zinga thuhriattir nân a ruat a ni., Aigupta ram chunga a kal chhuah lai kha: Ka tawng hriat loh benga ka hriatna kha.	He gave it to Joseph as a witness, when he went out over the land of Egypt; then the words of a strange tongue were sounding in my ears.
Tin, a zawnna turin maicham sira khangahte chuan zawngfungte chu a rawlh lut a; maicham chu thingphela chhungin a kawrawngin a siam a.	He put the rods through the rings at the opposite sides of the altar for lifting it; he made the altar hollow, boarded in with wood.
Mi rethei leh tlachhamte chu a rêlsak a, Chu chu a țha a ni. Hei hi mi hriat dan tûr chu a ni lo vem ni? Tih hi LALPA thu chhuak a ni.	He was judge in the cause of the poor and those in need; then it was well. Was not this to have knowledge of me? says the Lord.
Pathian hnena chhuak chuan Pathian thu a pawm thin; he mi avang hian in pawm lo a ni, Pathian hnena chhuak in nih loh avangin, a ti a.	He who is a child of God gives ear to the words of God: your ears are not open to them because you are not from God.
Aw LALPA, eng chen nge ka au vang a, Min ngaihthlâk loh vang? Inpâwngnêkna thu I hnênah ka au chhuahpui a, Nangin i chhanhim si lo va.	How long, O Lord, will your ears be shut to my voice? I make an outcry to you about violent behaviour, but you do not send salvation.
Rilru danglam in pu lovang tih Lalpaah chuan ka ring tlat a; tibuaitu che u chu atua pawh ni sela, a chunga rorelna chu a la tuar ang.	I am certain about you in the Lord, that you will be of no other mind; but he who is troubling you will have his punishment, whoever he is.
LALPA, LALPA ngei chu, mi nung ramah hian ka hmu dawn tawh lo va: Khawvela awmte zingah hian mihring ka hmu leh dawn tawh lo a nih hi.	I said, I will not see the Lord, even the Lord in the land of the living: I will not see man again or those living in the world.
Keiin Zion hnênah chuan, En teh, anni saw en teh, ka ti hmasa ang a; Jerusalem hnênah chuan chanchin tha rawn thelntu pakhat a pe ang.	I was the first to give word of it to Zion, and I gave the good news to Jerusalem.
Hebrai mi, chhiahhlawhah lo lei ang la, kum ruk rawng a bâwl ang a: tin, a kum sarih kum chuan intlan lo pawhin a chhuak mai thei ang.	If you get a Hebrew servant for money, he is to be your servant for six years, and in the seventh year you are to let him go free without payment.
Ka nunna hi vawng tha ang che; Pathian ngaihsak mi ka ni si a: Aw, nang ka Pathian, nangmah ringtu, i chhiahhlawh hi chhandam ang che.	Keep my soul, for I am true to you; O my God, give salvation to your servant, whose hope is in you.
Mi zawng zawngte u, LALPA hmaah chuan ngawi țhiap rawh u: Ani chu a hmun thianghlim ata a lo tho tawh si a, Tiin va sawi rawh, a ti a.	Let all flesh be quiet and make no sound before the Lord: for he is awake and has come from his holy resting-place.
Nimahsela, nangni zingah zawng chutiang a ni lo vang; tupawh in zinga mi lian nih duh apiang chu in rawngbawltuah a awm zawk tur a ni;	Let it not be so among you: but if anyone has a desire to become great among you, let him be your servant;
Dotu hian ka nunna hi umin, umphak mai rawh se; A ni, kan nun hi leiah chil thluin, Ka ropuina hi vaivut zingah dah mai rawh se. Selah	Let my hater go after my soul and take it; let my life be crushed to the earth, and my honour into the dust. (Selah.
Vengtuten khawvar an thlir aia nasain, A ni, vengtuten khawvar an thlir aia nasa mahin, Ka nuna hian LALPA chu a thlir reng thin a ni.	My soul is watching for the Lord more than those who are watching for the morning; yes, more than the watchers for the morning.
a nula chu engmah in tih tur a ni lo, nula chungah chuan thihna khawp sual a awm lo; heitang hi chu, mi ațhenawm beia that ang a ni a;	Nothing is to be done to the virgin, because there is no cause of death in her: it is the same as if a man made an attack on his neighbour and put him to death:
Tin, chu mi hnua chuan heti hi a ni a, Moaba thlahte leh Amona thlahte chu Meun-ho thenkhatte nen Jehosaphata bei tûrin an lo thawk a.	Now after this, the children of Moab and the children of Ammon, and with them some of the Meunim, made war against Jehoshaphat.
Tin, Timothea kha a lo thlen chuan ti lova in hnena a awm nan fimkhur rawh u; keiin ka thawh ang bawk hian Lalpa hna chu a thawk si a.	Now if Timothy comes, see that he is with you without fear; because he is doing the Lord's work, even as I am:
Tin, Jephtha chuan Israel-ho chungah kum ruk ro a rêl a. Tichuan Gilead mi Jephtha chu athi a, Gilead rama khaw pakhatah an phûm ta a.	Now Jephthah was judge of Israel for six years. And Jephthah the Gileadite came to his death, and his body was put to rest in his town, Mizpeh of Gilead.
Tin, râl kap mi zawng zawngte hian khawpui hi velin vawi khat chu in han vel chhuak pawht ang a. chutiang chuan ni ruk in ti tur a ni.	Now let all your fighting-men make a circle round the town, going all round it once. Do this for six days.
Tin, Siloam in sangin mi sawm leh pariat a delhhlumte pawh kha, Jerusalem khuaa awmte zawng zawng aiin mi sual bik niin in ring em ni?	Or those eighteen men who were crushed by the fall of the tower of Siloam, were they worse than all the other men living in Jerusalem?
A bâwngpa tuaite chu tihlum vek ula, Talhin awm vek rawh se. An chung ava pik êm! An ni a lo thleng ta si, Anmahni hremna ni ngei chu.	Put all her oxen to the sword; let them go down to death: sorrow is theirs, for their day has come, the time of their punishment.
Chu mi chuan Paula leh keini min zui a, Heng mi chhandamna kawng hrilhtu che u hi, Chungnungber Pathian bawih an nih hi, tiin a au va.	She came after Paul and us, crying out and saying, These men are the servants of the Most High God, who are giving you news of the way of salvation.
Tichuan i nunna atân finna chu chutiang a ni tih i hria ang a; Tin, i hmuh chuan lawmman a awm ang a, I beisei chu tihbo a ni lo vang.	So let your desire be for wisdom: if you have it, there will be a future, and your hope will not be cut off.
Chutichuan, tunah mikhual leh mi chm mai in ni tawh lo va, mi thianghlimte nen chuan tualkhat leh Pathian chhungte in ni ta zawk a ni;	So then you are no longer as those who have no part or place in the kingdom of God, but you are numbered among the saints, and of the family of God,
Tin, tunah nangni in lungngai e; nimahsela ka hmu leh ang che u a, in thinlung a lawm ang , in lawm chu tuman an laksak lo vang che u.	So you have sorrow now: but I will see you again, and your hearts will be glad, and no one will take away your joy.
Pumin a chhem huau huau va, Meiah chuan suan chu a tuiral a, Tihthianghlim tumna chu a thlawn mai a ni, Mi sualte paih bo an ni si lo.	The blower is blowing strongly, the lead is burned away in the fire: they go on heating the metal to no purpose, for the evil-doers are not taken away.
zâwlnei, muanna thu sawitu thu sawi chu a lo thlen hunah, chu zâwlnei chu LALPA chuan a tir ngei a ni tih a hriat mai ang chu, a ti a.	The prophet whose words are of peace, when his words come true, will be seen to be a prophet whom the Lord has sent.
Thla linaa sipai hotu chu Joaba unaupa Asahela a ni a, a fpa Zebadian a ai a awh a ni; tin, a pâwlah chuan singhnih leh sângli an awm.	The third captain of the army for the third month was Benaiah, the son of Jehoiada the priest; and in his division were twenty-four thousand.
Thuthlung an siamna lamah dâwta chhechhamin Thu lawilo an sawi a: Chuvângin, leileh dura hnim tûr nei a țo angin, Rorêlna a pung a ni.	Their words are foolish; they make agreements with false oaths, so punishment will come up like a poison-plant in a ploughed field.
Chu mi hnuah chuan Abrahaman a nupui Sari chu Kanaan rama Mamre zâwna chu chu Hebron khua a ni a Makpela lova pûkah chuan a phûm ta a.	Then Abraham put Sarah his wife to rest in the hollow rock in the field of Machpelah near Mamre, that is, Hebron in the land of Canaan.
Tin, Isuan an hnenah, Nangni sawm leh pahnihte hi keima thlan inni lawm ni? In zinga mi pakhat diabola a ni leh nghal vei nen, a ti a.	Then Jesus said, Did I not make a selection of you, the twelve, and one of you is a son of the Evil One?
tin, puithiam Eleazara chuan a kut zungtangin a thisen chu ala ang a, inbiakna puan in hma lamah a thisen chu vawi sarih a theh ang a:	Then let Eleazar the priest take some of her blood on his finger, shaking the blood seven times in the direction of the front of the Tent of meeting:
Tin, Manoan LALPA vântirhkoh hnênah chuan, Tunge i hming, i thusawi ang ngeia a lo theln huna kan chawimawit heihna tûr chein? a ti a.	Then Manoah said to the angel of the Lord, What is your name, so that when your words come true we may give you honour?
Tin, Pilatan a hnenah, Nangin kei mi be lo vei maw? Thlah thei che ka ni, kraws-a khengbet thei che ka ni tih i hre lo vem ni? a ti a.	Then Pilate said to him, You say nothing to me? is it not clear to you that I have power to let you go free and power to put you to death on the cross?
Chung thu ziak chu hmasânga mi a ni. Chungho chu bel vawtu, Netaim leh Gedera khuaa awm an ni a: lal hnênah a hna thawkin an awm a ni.	These were the potters, and the people living among planted fields with walls round them; they were there to do the king's work.
an thlahtute hnena chhechhama ka tiam ram chu an hmu tawp lo vang a; an zinga mi ngaineptu reng rengte pawhin an hmu bawk hek lo vang:	They will not see the land about which I made an oath to their fathers; not one of these by whom I have not been honoured will see it.
